"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"2000000.0","S20000","21","proposed","Sewer Funds","C700008","Public Utilities","Kearny Mesa Trunk Sewer","Undistributed Budget","512117"
"100000.0","S21002","21","proposed","Sewer Funds","C700008","Transportation & Storm Water","South Mission Valley Trunk Sewer Ph II","Undistributed Budget","512117"
"3200000.0","ABO00001","21","proposed","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"7208500.0","ATT00002","21","proposed","Sewer Funds","C700009","Citywide","Enterprise Funded IT Projects","Undistributed Budget","512117"
"12955568.0","S00312","21","proposed","Sewer Funds","C700009","Public Utilities","PS2 Power Reliability & Surge Protection","Undistributed Budget","512117"
"2012316.0","S00319","21","proposed","Sewer Funds","C700009","Public Utilities","EMTS Boat Dock Esplanade","Undistributed Budget","512117"
"300000.0","S00339","21","proposed","Sewer Funds","C700009","Public Utilities","MBC Dewatering Centrifuges Replacement","Undistributed Budget","512117"
"755291.0","S17012","21","proposed","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"1961315.0","S17013","21","proposed","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"800000.0","ABJ00001","21","proposed","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"1861000.0","ABL00001","21","proposed","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"1200000.0","AKA00002","21","proposed","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"6558557.0","AKA00003","21","proposed","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"71644734.0","AKB00003","21","proposed","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"441281.0","ATT00002","21","proposed","Water Fund","C700010","Citywide","Enterprise Funded IT Projects","Undistributed Budget","512117"
"1000000.0","S00050","21","proposed","Water Fund","C700010","Public Utilities","Water Department Security Upgrades","Undistributed Budget","512117"
"2000000.0","S10008","21","proposed","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"21000000.0","S11026","21","proposed","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"500000.0","S12009","21","proposed","Water Fund","C700010","Public Utilities","La Jolla Scenic Drive 16inch Main","Undistributed Budget","512117"
"1250000.0","S12010","21","proposed","Water Fund","C700010","Public Utilities","30th Street Pipeline Replacement","Undistributed Budget","512117"
"1200000.0","S12012","21","proposed","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"500000.0","S12015","21","proposed","Water Fund","C700010","Public Utilities","Pacific Beach Pipeline South (W)","Undistributed Budget","512117"
"14627449.0","S12016","21","proposed","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL West of Highland Avenue","Undistributed Budget","512117"
"2837500.0","S15027","21","proposed","Water Fund","C700010","Public Utilities","La Jolla View Reservoir","Undistributed Budget","512117"
"15364419.0","S16027","21","proposed","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"5000000.0","S20001","21","proposed","Water Fund","C700010","Public Utilities","Otay 2nd Pipeline Phase 4","Undistributed Budget","512117"
"5400000.0","S20002","21","proposed","Water Fund","C700010","Public Utilities","University Heights Reservoir Rehabilitation","Undistributed Budget","512117"
"100000.0","S21000","21","proposed","Water Fund","C700010","Transportation & Storm Water","Otay 2nd Pipeline St Replacement Ph 5","Undistributed Budget","512117"
"100000.0","S21001","21","proposed","Water Fund","C700010","Transportation & Storm Water","Water SCADA Upgrade Phase I","Undistributed Budget","512117"
"2063816.0","S01090","21","proposed","Golf Course Enterprise Fund","C700046","Parks & Recreation","Mission Bay Golf Course Clubhouse Demo/Prtbl Building Instl","Undistributed Budget","512117"
"1073165.0","T19003","21","proposed","Other Funding","C700102","Citywide","Accela Implementation Phase 2","Undistributed Budget","512117"
"2090000.0","ABT00001","19","proposed","Infrastructure Fund","C100012","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"1250000.0","AGF00007","19","proposed","Infrastructure Fund","C100012","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"800000.0","AIA00001","19","proposed","Infrastructure Fund","C100012","Transportation & Storm Water","Minor Bike Facilities","Undistributed Budget","512117"
"5000000.0","AID00005","19","proposed","Infrastructure Fund","C100012","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"1271068.0","AIH00001","19","proposed","Infrastructure Fund","C100012","Transportation & Storm Water","Installation of City Owned Street Lights","Undistributed Budget","512117"
"5000000.0","AIK00003","19","proposed","Infrastructure Fund","C100012","Transportation & Storm Water","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"200000.0","AIL00001","19","proposed","Infrastructure Fund","C100012","Transportation & Storm Water","Traffic Calming","Undistributed Budget","512117"
"200000.0","S15011","19","proposed","Infrastructure Fund","C100012","Library","Tierrasanta Library Expansion","Undistributed Budget","512117"
"40000.0","S16016","19","proposed","Infrastructure Fund","C100012","Parks & Recreation","Kelly St Neighborhood Pk Security Lighting Upgrade","Undistributed Budget","512117"
"60000.0","S16017","19","proposed","Infrastructure Fund","C100012","Parks & Recreation","Encanto Comm Pk Security Lighting Upgrades","Undistributed Budget","512117"
"175000.0","S16018","19","proposed","Infrastructure Fund","C100012","Parks & Recreation","Marie Widman Memorial Pk Security Lighting Upgrade","Undistributed Budget","512117"
"70000.0","S16021","19","proposed","Infrastructure Fund","C100012","Parks & Recreation","Skyline Hills Comm Pk Security Lighting Upgrades","Undistributed Budget","512117"
"150000.0","L12000","19","proposed","Maintenance Assessment Districts","C200038","Parks & Recreation","Convert RB Medians-Asphalt to Concrete","Undistributed Budget","512117"
"20000.0","S17001","19","proposed","Maintenance Assessment Districts","C200076","Parks & Recreation","Talmadge Traffic Calming Infrastructure","Undistributed Budget","512117"
"3000000.0","AID00005","19","proposed","Gas Tax Fund","C200118","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"2000000.0","AID00005","19","proposed","Trench Cut/Excavation Fee Fund","C200203","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"5000000.0","AID00001","19","proposed","Utilities Undergrounding Program Fund","C200218","Transportation & Storm Water","Utilities Undergrounding Program","Undistributed Budget","512117"
"100000.0","ATT00001","19","proposed","Utilities Undergrounding Program Fund","C200218","Citywide","Governmental Funded IT Projects","Undistributed Budget","512117"
"6591611.0","AGF00004","19","proposed","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"150000.0","ABT00001","19","proposed","San Diego Regional Parks Improvement Fund","C200391","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"792635.0","AGF00005","19","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Regional Park Improvements","Undistributed Budget","512117"
"400000.0","L12003","19","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Museum of Man Seismic Retrofit","Undistributed Budget","512117"
"350000.0","L18001","19","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Chollas Lake Improvements","Undistributed Budget","512117"
"150000.0","S10065","19","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mission Trails RP Cowles Mountain Trail","Undistributed Budget","512117"
"250000.0","S10066","19","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mission Trails RP Trail Realignments","Undistributed Budget","512117"
"1456694.0","S15035","19","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","EB Scripps Pk Comfort Station Replacement","Undistributed Budget","512117"
"1144000.0","RD11001","19","proposed","Developer Funding","C200636","Transportation & Storm Water","Via de la Valle Widening","Undistributed Budget","512117"
"937000.0","S00856","19","proposed","Developer Funding","C200636","Transportation & Storm Water","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"2500000.0","S15045","19","proposed","Redevelopment Funding","C200700","Transportation & Storm Water","Park Boulevard At-Grade Crossing","Undistributed Budget","512117"
"9510879.0","AID00005","19","proposed","Gas Tax Fund","C200731","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"248000.0","ATT00001","19","proposed","OneSD/ERP Funding","C200802","Citywide","Governmental Funded IT Projects","Undistributed Budget","512117"
"51679.0","T19001","19","proposed","OneSD/ERP Funding","C200802","Department of Information Technology","I AM Enhancements","Undistributed Budget","512117"
"369048.0","S15018","19","proposed","Enhanced Infrastructure Financing District Fund","C200803","Transportation & Storm Water","La Media Road Improvements","Undistributed Budget","512117"
"100000.0","AIA00001","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Minor Bike Facilities","Undistributed Budget","512117"
"5311454.0","AID00005","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"600000.0","AIE00001","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Bridge Rehabilitation","Undistributed Budget","512117"
"750000.0","AIG00001","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Median Installation","Undistributed Budget","512117"
"619100.0","AIH00001","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Installation of City Owned Street Lights","Undistributed Budget","512117"
"1182000.0","AIK00001","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","New Walkways","Undistributed Budget","512117"
"1000000.0","AIL00001","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Traffic Calming","Undistributed Budget","512117"
"100000.0","AIL00002","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Install T/S Interconnect Systems","Undistributed Budget","512117"
"1628000.0","AIL00004","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals - Citywide","Undistributed Budget","512117"
"1787000.0","AIL00005","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"3449000.0","S00851","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","SR 163/Friars Road","Undistributed Budget","512117"
"460000.0","S00880","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Miramar Road-I-805 Easterly Ramps","Undistributed Budget","512117"
"500000.0","S00915","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","University Avenue Mobility","Undistributed Budget","512117"
"1000000.0","S11060","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Otay Mesa Truck Route Phase 4","Undistributed Budget","512117"
"200000.0","S16022","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Market St-Euclid to Pitta-Improvements","Undistributed Budget","512117"
"900000.0","S18000","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","Streamview Drive Improvements Phase 2","Undistributed Budget","512117"
"200000.0","S18001","19","proposed","TransNet Funds","C400169","Transportation & Storm Water","University Avenue Complete Street Phase 1","Undistributed Budget","512117"
"928800.0","ATT00001","19","proposed","General Fund","C400265","Citywide","Governmental Funded IT Projects","Undistributed Budget","512117"
"358000.0","T19000","19","proposed","General Fund","C400265","Citywide","311 Enhancements","Undistributed Budget","512117"
"50000.0","T19001","19","proposed","General Fund","C400265","Department of Information Technology","I AM Enhancements","Undistributed Budget","512117"
"2578580.0","S15045","19","proposed","Other Funding","C400429","Transportation & Storm Water","Park Boulevard At-Grade Crossing","Undistributed Budget","512117"
"250000.0","P19000","19","proposed","Fleet Services Internal Service Fund","C400676","Citywide","Fleet Management Software Upgrade","Undistributed Budget","512117"
"700000.0","ABP00001","19","proposed","Sewer Funds","C700008","Public Utilities","Pump Station Restorations","Undistributed Budget","512117"
"652960.0","ABP00003","19","proposed","Sewer Funds","C700008","Public Utilities","Pump Station 64,65, Penasquitos, E Mission Gorge","Undistributed Budget","512117"
"220000.0","ABT00001","19","proposed","Sewer Funds","C700008","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"5000000.0","ABT00007","19","proposed","Sewer Funds","C700008","Citywide","Sewer CIP Emergency Reserve","Undistributed Budget","512117"
"60600791.0","AJA00001","19","proposed","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"30431911.0","AJA00002","19","proposed","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"5881393.0","AJB00001","19","proposed","Sewer Funds","C700008","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"427750.0","ATT00002","19","proposed","Sewer Funds","C700008","Citywide","Enterprise Funded IT Projects","Undistributed Budget","512117"
"7000000.0","RD16001","19","proposed","Sewer Funds","C700008","Public Utilities","Harbor Dr TS Participation Agreement","Undistributed Budget","512117"
"250000.0","S15019","19","proposed","Sewer Funds","C700008","Public Utilities","Alvarado Trunk Sewer Phase IV","Undistributed Budget","512117"
"534559.0","S17008","19","proposed","Sewer Funds","C700008","Public Utilities","Advanced Metering Infrastructure","Undistributed Budget","512117"
"60000.0","T19000","19","proposed","Sewer Funds","C700008","Citywide","311 Enhancements","Undistributed Budget","512117"
"152000.0","T19001","19","proposed","Sewer Funds","C700008","Department of Information Technology","I AM Enhancements","Undistributed Budget","512117"
"5311000.0","ABO00001","19","proposed","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"500000.0","ABP00002","19","proposed","Sewer Funds","C700009","Public Utilities","Metropolitan System Pump Stations","Undistributed Budget","512117"
"166650.0","ABT00001","19","proposed","Sewer Funds","C700009","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"3083904.0","AJB00001","19","proposed","Sewer Funds","C700009","Public Utilities","Metropolitan Waste Water Department Trunk Sewers","Undistributed Budget","512117"
"66823574.0","ALA00001","19","proposed","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"487750.0","ATT00002","19","proposed","Sewer Funds","C700009","Citywide","Enterprise Funded IT Projects","Undistributed Budget","512117"
"19450000.0","S00312","19","proposed","Sewer Funds","C700009","Public Utilities","PS2 Power Reliability & Surge Protection","Undistributed Budget","512117"
"500000.0","S00317","19","proposed","Sewer Funds","C700009","Public Utilities","South Metro Sewer Rehabilitation Ph 3B","Undistributed Budget","512117"
"500000.0","S00319","19","proposed","Sewer Funds","C700009","Public Utilities","EMTS Boat Dock Esplanade","Undistributed Budget","512117"
"3080000.0","S17012","19","proposed","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"550000.0","S17013","19","proposed","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"88000.0","T19001","19","proposed","Sewer Funds","C700009","Department of Information Technology","I AM Enhancements","Undistributed Budget","512117"
"3979847.0","ABJ00001","19","proposed","Water Fund","C700010","Public Utilities","Water Pump Station Restoration","Undistributed Budget","512117"
"4005053.0","ABL00001","19","proposed","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
"6200000.0","ABM00001","19","proposed","Water Fund","C700010","Public Utilities","Groundwater Asset Development Program","Undistributed Budget","512117"
"113350.0","ABT00001","19","proposed","Water Fund","C700010","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"400000.0","AHC00004","19","proposed","Water Fund","C700010","Public Utilities","Recycled Water Systems Upgrades","Undistributed Budget","512117"
"200000.0","AKA00002","19","proposed","Water Fund","C700010","Public Utilities","Pressure Reduction Facility Upgrades","Undistributed Budget","512117"
"15491975.0","AKA00003","19","proposed","Water Fund","C700010","Public Utilities","Large Diameter Water Transmission PPL","Undistributed Budget","512117"
"74153904.0","AKB00003","19","proposed","Water Fund","C700010","Public Utilities","Water Main Replacements","Undistributed Budget","512117"
"300000.0","AKB00007","19","proposed","Water Fund","C700010","Public Utilities","Instrumentation and Control","Undistributed Budget","512117"
"54556314.0","ALA00001","19","proposed","Water Fund","C700010","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"598500.0","ATT00002","19","proposed","Water Fund","C700010","Citywide","Enterprise Funded IT Projects","Undistributed Budget","512117"
"2000000.0","S00050","19","proposed","Water Fund","C700010","Public Utilities","Water Department Security Upgrades","Undistributed Budget","512117"
"1000000.0","S10008","19","proposed","Water Fund","C700010","Public Utilities","El Monte Pipeline No 2","Undistributed Budget","512117"
"29080100.0","S11024","19","proposed","Water Fund","C700010","Public Utilities","Miramar Clearwell Improvements","Undistributed Budget","512117"
"8380251.0","S11025","19","proposed","Water Fund","C700010","Public Utilities","Chollas Building","Undistributed Budget","512117"
"10000000.0","S11026","19","proposed","Water Fund","C700010","Public Utilities","Montezuma/Mid-City Pipeline Phase II","Undistributed Budget","512117"
"11578813.0","S12010","19","proposed","Water Fund","C700010","Public Utilities","30th Street Pipeline Replacement","Undistributed Budget","512117"
"4146000.0","S12012","19","proposed","Water Fund","C700010","Public Utilities","Cielo & Woodman Pump Station","Undistributed Budget","512117"
"2500000.0","S12013","19","proposed","Water Fund","C700010","Public Utilities","Alvarado 2nd Extension Pipeline","Undistributed Budget","512117"
"10491262.0","S12015","19","proposed","Water Fund","C700010","Public Utilities","Pacific Beach Pipeline South (W)","Undistributed Budget","512117"
"9700000.0","S12016","19","proposed","Water Fund","C700010","Public Utilities","Otay 1st/2nd PPL West of Highland Avenue","Undistributed Budget","512117"
"990811.0","S12018","19","proposed","Water Fund","C700010","Public Utilities","Lower Otay Outlet Tower","Undistributed Budget","512117"
"100000.0","S12040","19","proposed","Water Fund","C700010","Public Utilities","Tierrasanta (Via Dominique) Pump Station","Undistributed Budget","512117"
"1485509.0","S13015","19","proposed","Water Fund","C700010","Public Utilities","Water & Sewer Group Job 816 (W)","Undistributed Budget","512117"
"3000000.0","S15016","19","proposed","Water Fund","C700010","Public Utilities","Otay Second Pipeline Relocation-PA","Undistributed Budget","512117"
"500000.0","S15027","19","proposed","Water Fund","C700010","Public Utilities","La Jolla View Reservoir","Undistributed Budget","512117"
"5000000.0","S16027","19","proposed","Water Fund","C700010","Public Utilities","Morena Pipeline","Undistributed Budget","512117"
"1247305.0","S17008","19","proposed","Water Fund","C700010","Public Utilities","Advanced Metering Infrastructure","Undistributed Budget","512117"
"160000.0","T19001","19","proposed","Water Fund","C700010","Department of Information Technology","I AM Enhancements","Undistributed Budget","512117"
"1000000.0","AFA00001","19","proposed","Refuse Disposal Fund","C700040","Environmental Services","Minor Improvements to Landfills","Undistributed Budget","512117"
"2000000.0","L17000","19","proposed","Refuse Disposal Fund","C700040","Environmental Services","Miramar Landfill Facility Improvements","Undistributed Budget","512117"
"1000000.0","L18002","19","proposed","Refuse Disposal Fund","C700040","Environmental Services","Miramar Landfill Storm Water Improvements","Undistributed Budget","512117"
"76800.0","T19000","19","proposed","Refuse Disposal Fund","C700040","Citywide","311 Enhancements","Undistributed Budget","512117"
"55200.0","T19000","19","proposed","Recycling Fund","C700049","Citywide","311 Enhancements","Undistributed Budget","512117"
"1500000.0","ABT00001","18","proposed","Infrastructure Fund","C100012","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"1230000.0","S15000","18","proposed","Infrastructure Fund","C100012","Environmental Services","CNG Fueling Station for Refuse & Recycling","Undistributed Budget","512117"
"350000.0","L12000","18","proposed","Maintenance Assessment Districts","C200038","Parks & Recreation","Convert RB Medians-Asphalt to Concrete","Undistributed Budget","512117"
"100000.0","S17001","18","proposed","Maintenance Assessment Districts","C200076","Parks & Recreation","Talmadge Traffic Calming Infrastructure","Undistributed Budget","512117"
"1927365.0","S14016","18","proposed","Environmental Growth Funds","C200110","Parks & Recreation","East Fortuna Staging Area Field Stn Blg","Undistributed Budget","512117"
"2000000.0","AID00005","18","proposed","Trench Cut/Excavation Fee Fund","C200203","Transportation & Storm Water","Resurfacing of City Streets","Undistributed Budget","512117"
"1884482.0","S13022","18","proposed","Library System Improvement Fund","C200209","Library","Mission Hills-Hillcrest Library","Undistributed Budget","512117"
"150000.0","AGF00007","18","proposed","Antenna Lease Fund","C200324","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"150000.0","S13005","18","proposed","Antenna Lease Fund","C200324","Parks & Recreation","University Village Park Tot Lot","Undistributed Budget","512117"
"6825570.0","AGF00004","18","proposed","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"825307.0","AGF00006","18","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Coastal Erosion and Access","Undistributed Budget","512117"
"650000.0","L12003","18","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Museum of Man Seismic Retrofit","Undistributed Budget","512117"
"500000.0","L18001","18","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Chollas Lake Improvements","Undistributed Budget","512117"
"1000000.0","S13008","18","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mohnike Adobe and Barn Restoration","Undistributed Budget","512117"
"500000.0","S15034","18","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Junipero Serra Museum ADA Improvements","Undistributed Budget","512117"
"200000.0","S15036","18","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Balboa Park West Mesa Comfort Station Replacement","Undistributed Budget","512117"
"1018572.0","S14000","18","proposed","Lease Purchase Fund","C200724","Citywide","I AM San Diego Project","Undistributed Budget","512117"
"22450.0","AIL00005","18","proposed","Development Impact Fees","C400099","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"146464.0","S15021","18","proposed","Development Impact Fees","C400106","Parks & Recreation","Rolling Hills Neighborhood Park ADA Upgrades","Undistributed Budget","512117"
"184865.0","P18001","18","proposed","Development Impact Fees","C400110","Parks & Recreation","Preliminary Engineering Report","Undistributed Budget","512117"
"200000.0","AIL00005","18","proposed","Development Impact Fees","C400112","Transportation & Storm Water","Traffic Signals Modification","Undistributed Budget","512117"
"275000.0","P18001","18","proposed","Development Impact Fees","C400112","Parks & Recreation","Preliminary Engineering Report","Undistributed Budget","512117"
"40000.0","AIK00003","18","proposed","Development Impact Fees","C400113","Transportation & Storm Water","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"290000.0","ABT00001","18","proposed","Development Impact Fees","C400114","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"170000.0","AIK00003","18","proposed","Development Impact Fees","C400114","Transportation & Storm Water","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"1170000.0","P18000","18","proposed","Development Impact Fees","C400115","Parks & Recreation","Building 619 at NTC - Rec Center","Undistributed Budget","512117"
"248000.0","AIK00003","18","proposed","Development Impact Fees","C400116","Transportation & Storm Water","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"105000.0","AIK00003","18","proposed","Development Impact Fees","C400117","Transportation & Storm Water","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"60000.0","ABT00001","18","proposed","Development Impact Fees","C400122","Public Works - General Services","City Facilities Improvements","Undistributed Budget","512117"
"1600000.0","AIK00003","18","proposed","Development Impact Fees","C400122","Transportation & Storm Water","Sidewalk Repair and Reconstruction","Undistributed Budget","512117"
"1455000.0","AIL00004","18","proposed","Development Impact Fees","C400122","Transportation & Storm Water","Traffic Signals - Citywide","Undistributed Budget","512117"
