"asset_owning_dept","project_number","asset_type","asset_subtype","project_name"
"Environmental Services","S00684","Landfills","Supporting Facilities / Structures","South Chollas Landfill Improvements"
"Environmental Services","S00779","Landfills","Landfills","South Miramar Landfill"
"Environmental Services","S01084","Landfills","Landfills","Unclassified Disposal Site Closure"
"Environmental Services","AFA00002","Landfills","Landfills","Underground Tank Program"
"Environmental Services","S01075","Landfills","Landfills","West Miramar Landfill Liner Module E"
"Environmental Services","S00774","Buildings","Other City Facility / Structures","West Miramar Landfill - Phase 2"
"Environmental Services","S00775","Landfills","Landfills","West Miramar Landfill Public Tipping Area"
"Environmental Services","S01074","Landfills","Landfills","West Miramar Refuse Disposal Fac Ph 2"
"Fire-Rescue","S00644","Buildings","Public Safety - Lifeguard Stations","Children's Pool Lifeguard Station"
"Fire-Rescue","S16015","Buildings","Pub Safety - Fire Facilities / Structures","College Area Fire Station"
"Fire-Rescue","S15012","Buildings","Pub Safety - Fire Facilities / Structures","Fire-Rescue Air Operations Facility"
"Fire-Rescue","ABC00001","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station Major Component Replacement Rehab"
"Fire-Rescue","S00786","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 01 - Downtown"
"Fire-Rescue","S15042","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 02 - Bayside"
"Fire-Rescue","S01017","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 04 - East Village"
"Fire-Rescue","S00788","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 05 - Hillcrest"
"Fire-Rescue","S15013","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 07 - Barrio Logan"
"Fire-Rescue","S10029","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 08 - Mission Hills"
"Fire-Rescue","S01031","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 10 - College Remodel"
"Fire-Rescue","S01091","Buildings","Other City Facility / Structures","Fire Station No. 13 - La Jolla - ADA Improvements"
"Fire-Rescue","S13011","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 15 - Ocean Beach Expansion"
"Fire-Rescue","S00783","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 17 - Mid-City"
"Fire-Rescue","S00787","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 22 - Point Loma"
"Fire-Rescue","S00789","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 33 - Rancho Bernardo"
"Fire-Rescue","S10006","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 38 - Mira Mesa Remodel"
"Fire-Rescue","S17002","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No 39 Replacement"
"Fire-Rescue","S00782","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 42 - Carmel Mountain Ranch"
"Fire-Rescue","S00688","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 45 - E Mission Valley"
"Fire-Rescue","S00690","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 47 - Pacific Highlands Ranch"
"Fire-Rescue","S00689","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 47-Pac Highlands Ranch"
"Fire-Rescue","S15015","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 48 - Black Mountain Ranch"
"Fire-Rescue","S00784","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 49 - Otay Mesa"
"Fire-Rescue","S13021","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 50 - North University City"
"Fire-Rescue","S14017","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 51 - Skyline Hills"
"Fire-Rescue","S00785","Buildings","Pub Safety - Fire Facilities / Structures","Fire Station No. 54 - Paradise Hills"
"Fire-Rescue","S14018","Buildings","Pub Safety - Fire Facilities / Structures","Home Avenue Fire Station"
"Fire-Rescue","S00792","Buildings","Public Safety - Lifeguard Stations","La Jolla Cove Lifeguard Station"
"Fire-Rescue","S00790","Buildings","Public Safety - Lifeguard Stations","La Jolla Shores Lifeguard Station"
"Fire-Rescue","S00794","Buildings","Public Safety - Lifeguard Stations","Lifeguard Station Headquarters"
"Fire-Rescue","S00641","Buildings","Public Safety - Lifeguard Stations","Lifeguard Tower/Grand Ave Restroom"
"Fire-Rescue","S00793","Buildings","Public Safety - Lifeguard Stations","Mission Beach Lifeguard Station"
"Fire-Rescue","S10119","Buildings","Public Safety - Lifeguard Stations","North Pacific Beach Lifeguard Station"
"Fire-Rescue","P18008","Buildings","Public Safety - Lifeguard Stations","Ocean Beach Lifeguard Station"
"Fire-Rescue","S10121","Buildings","Public Safety - Lifeguard Stations","Ocean Beach Lifeguard Station"
"Fire-Rescue","L12002","Buildings","Pub Safety - Fire Facilities / Structures","SDFD Station Alerting"
"Fire-Rescue","S00687","Buildings","Pub Safety - Fire Facilities / Structures","Skyline Hills FS Land Acquisition"
"Fire-Rescue","S00791","Buildings","Public Safety - Lifeguard Stations","South Mission Beach Lifeguard Station"
"Fire-Rescue","S19003","Buildings","Pub Safety - Fire Facilities / Structures","UCSD Fire Station and ROW Improvements"
"Library","S00808","Buildings","Libraries","Balboa Branch Library"
"Library","S01041","Buildings","Libraries","Clairemont Branch Library ADA"
"Library","S00797","Buildings","Libraries","College Heights Branch Library"
"Library","P18004","Buildings","Libraries","Kensington/Normal Heights Library"
"Library","S00795","Buildings","Libraries","Kensington/Normal Heights Library"
"Library","S00803","Buildings","Libraries","La Jolla/Riford Branch Library"
"Library","S12000","Buildings","Libraries","Library Collection Conversion to RFID"
"Library","S01081","Buildings","Libraries","Linda Vista Branch Library Parking Lot"
"Library","S00807","Buildings","Libraries","Logan Heights Branch Library"
"Library","S00804","Buildings","Libraries","Mission Hills Branch Library"
"Library","S13022","Buildings","Libraries","Mission Hills-Hillcrest Library"
"Library","S01042","Buildings","Libraries","North Clairemont Branch Library"
"Library","S00798","Buildings","Libraries","North Park Library"
"Library","S00809","Buildings","Libraries","North Park Library"
"Library","S00805","Buildings","Libraries","North University Community Branch Library"
"Library","P20004","Buildings","Libraries","Oak Park Library"
"Library","P18005","Buildings","Libraries","Ocean Beach Branch Library"
"Library","S00806","Buildings","Libraries","Ocean Beach Branch Library"
"Library","S10025","Buildings","Libraries","Otay East Branch Library"
"Library","S00691","Buildings","Libraries","Otay Mesa/Nestor Branch Library Expansion"
"Library","S14023","Buildings","Libraries","Pacific Highlands Ranch Branch Library"
"Library","S00810","Buildings","Libraries","Paradise Hills Library"
"Library","S00796","Buildings","Libraries","Point Loma Branch Library"
"Library","S00812","Buildings","Libraries","Rancho Bernardo Library"
"Library","S00800","Buildings","Libraries","San Carlos Branch Library"
"Library","S00799","Buildings","Libraries","San Diego New Central Library"
"Library","S00802","Buildings","Libraries","San Ysidro Branch Library"
"Library","S01035","Buildings","Libraries","Scripps Miramar Library Parking"
"Library","S00811","Buildings","Libraries","Scripps Miramar Ranch Library"
"Library","S01040","Buildings","Libraries","Scripps Ranch Library ADA"
"Library","S00801","Buildings","Libraries","Serra Mesa Branch Library"
"Library","S00692","Buildings","Libraries","Skyline Hills Library"
"Library","S01043","Buildings","Libraries","Skyline Hills Library ADA"
"Library","S15011","Buildings","Libraries","Tierrasanta Library Expansion"
"Library","S01044","Buildings","Libraries","University City Library ADA"
"Library","S00693","Buildings","Libraries","University Heights Library"
"Not used","50330370","Not used","Not used","DELETE"
"Not used","AL000001","Not used","Not used","DELETE"
"Not used","R1212003","Not used","Not used","DELETE"
"Not used","S0000684","Not used","Not used","DELETE"
"Not used","S0000831","Not used","Not used","DELETE"
"Not used","S0101076","Not used","Not used","DELETE"
"Not used","S0101084","Not used","Not used","DELETE"
"Not used","S0101088","Not used","Not used","DELETE"
"Not used","S1010098","Not used","Not used","DELETE"
"Not used","S1414000","Not used","Not used","DELETE"
"Not used","S1616054","Not used","Not used","DELETE"
"Not used","0","Not used","Not used","Not used"
"Parks & Recreation","S00902","Transportation","Roadway - Enhance/Scape/Medians","36th Street Landscape Maintenance"
"Parks & Recreation","S00732","Transportation","Bicycle Facilities","40th St Promenade-Mid City Urban Trail"
"Parks & Recreation","S01048","Buildings","Parks - Regional Sports Facility","ADA Mid City Community Gym"
"Parks & Recreation","S00762","Parks","Miscellaneous Parks","Angier Elementary School Joint Use"
"Parks & Recreation","S00756","Parks","Neighborhood Parks","Azalea Neighborhood Park"
"Parks & Recreation","S00700","Transportation","Roadway - Enhance/Scape/Medians","Azalea Park Artistic Enhancement"
"Parks & Recreation","S14013","Parks","Developed Regional Park","Balboa Park Alcazar Pkg Lot Improvements"
"Parks & Recreation","AGF00002","Parks","Miscellaneous Parks","Balboa Park Arcade"
"Parks & Recreation","S00632","Golf Courses","Golf Courses","Balboa Park GC Irrigation System"
"Parks & Recreation","AEA00002","Golf Courses","Golf Courses","Balboa Park Golf Course"
"Parks & Recreation","S00614","Golf Courses","Golf Courses","Balboa Park Golf Course - Clubhouse"
"Parks & Recreation","S00626","Golf Courses","Golf Courses","Balboa Park Golf Course Step/Handrail Replacement"
"Parks & Recreation","L17002","Parks","Developed Regional Park","Balboa Park Plaza de Panama"
"Parks & Recreation","S15036","Buildings","Other City Facility / Structures","Balboa Park West Mesa Comfort Station Replacement"
"Parks & Recreation","S17000","Buildings","Parks - Recreation/Pool Centers","Balboa Pk Bud Kearns Aquatic Complex Imp"
"Parks & Recreation","S01079","Buildings","Parks - Regional Sports Facility","Ballpark and Redevelopment Project Infrastructure"
"Parks & Recreation","S16060","Parks","Community","Bay Terraces Community Center"
"Parks & Recreation","S14008","Transportation","Roadway - Enhance/Scape/Medians","Bay Terraces Parkside Greenbelt Lighting"
"Parks & Recreation","S00752","Parks","Community","Beyer Park Development"
"Parks & Recreation","S11007","Transportation","Roadway - Enhance/Scape/Medians","Bird Rock Median Lighting"
"Parks & Recreation","S00678","Parks","Miscellaneous Parks","Birney Elementary School Joint Use"
"Parks & Recreation","S00670","Parks","Open Space Parks","Black Mountain Pk Survey & Mgmt Plan"
"Parks & Recreation","S00639","Parks","Community","Black Mountain Ranch Community Park"
"Parks & Recreation","S01004","Parks","Miscellaneous Parks","Breen Park Site Development"
"Parks & Recreation","S00772","Airport","Airport","Brown Field Elect Upgrade - Phase 2 & 3"
"Parks & Recreation","P18000","Buildings","Parks - Recreation/Pool Centers","Building 619 at NTC - Rec Center"
"Parks & Recreation","S00763","Parks","Miscellaneous Parks","Cabrillo Heights NP Improvements"
"Parks & Recreation","S00665","Parks","Neighborhood Parks","Camino Ruiz Neighborhood Park Improvements"
"Parks & Recreation","S00666","Parks","Neighborhood Parks","Camino Ruiz Trail"
"Parks & Recreation","S10037","Transportation","Roadway - Enhance/Scape/Medians","Camino Santa Fe Median Improvements"
"Parks & Recreation","S16047","Parks","Miscellaneous Parks","Canon Street Pocket Park"
"Parks & Recreation","S15006","Parks","Resource-Based Parks","Canyon Hills Resource Park Improvements"
"Parks & Recreation","S00637","Parks","Community","Canyonside Community Park"
"Parks & Recreation","S00768","Parks","Community","Canyonside Community Park"
"Parks & Recreation","S12004","Parks","Community","Canyonside Community Park Improvements"
"Parks & Recreation","S10039","Transportation","Roadway - Enhance/Scape/Medians","Carmel Country Road Median Improvements"
"Parks & Recreation","S16037","Parks","Neighborhood Parks","Carmel Creek NP Improvements"
"Parks & Recreation","S16034","Parks","Neighborhood Parks","Carmel Del Mar NP Comfort Station-Development"
"Parks & Recreation","S00659","Parks","Mini Parks","Carmel Grove Mini Park Play Area Upgrade"
"Parks & Recreation","S16038","Parks","Neighborhood Parks","Carmel Grove NP Comfort Station and Park Improvements"
"Parks & Recreation","S16033","Parks","Neighborhood Parks","Carmel Knolls NP Comfort Station-Development"
"Parks & Recreation","S16039","Parks","Neighborhood Parks","Carmel Mission NP Comfort Station Development"
"Parks & Recreation","S01072","Parks","Miscellaneous Parks","Carmel Mtn Ranch Community Pk Children's Play Area"
"Parks & Recreation","S00635","Parks","Community","Carmel Valley Community Park South-Rec Bldg/OcnAir"
"Parks & Recreation","S00750","Parks","Community","Carmel Valley CP South Neighborhood 8A"
"Parks & Recreation","S16029","Parks","Miscellaneous Parks","Carmel Valley CP-Turf Upgrades"
"Parks & Recreation","L14000","Transportation","Roadway - Enhance/Scape/Medians","Carmel Valley Landscaping & Irrigation"
"Parks & Recreation","S00642","Parks","Neighborhood Parks","Carmel Valley Neighborhood Park #8"
"Parks & Recreation","S00758","Parks","Miscellaneous Parks","Carmel Valley Skate Park"
"Parks & Recreation","S00646","Parks","Miscellaneous Parks","Carson Elementary School Joint Use"
"Parks & Recreation","S14010","Parks","Miscellaneous Parks","Central Ave Mini Park Ph II Skate Plaza"
"Parks & Recreation","S00992","Parks","Miscellaneous Parks","Central Avenue MP Acquisition/Development"
"Parks & Recreation","RD16005","Parks","Neighborhood Parks","Centrum Neighborhood Pk Improvements"
"Parks & Recreation","S00649","Parks","Community","Cesar Solis Community Park"
"Parks & Recreation","S00673","Parks","Neighborhood Parks","Charles Lewis III Memorial Park"
"Parks & Recreation","S13003","Parks","Developed Regional Park","Chicano Park ADA Upgrades"
"Parks & Recreation","S18008","Buildings","Community Centers","Chicano Park Recreation Center"
"Parks & Recreation","S16013","Parks","Miscellaneous Parks","Children's Park Improvements"
"Parks & Recreation","S00654","Parks","Resource-Based Parks","Chollas Community Park"
"Parks & Recreation","S16058","Parks","Community","Chollas Community Park Comfort Station"
"Parks & Recreation","S00686","Drainage","Best Management Practices (BMPs)","Chollas Creek Enhancement"
"Parks & Recreation","S10019","Parks","Miscellaneous Parks","Chollas Lake Fishing Pier"
"Parks & Recreation","L18001","Parks","Community","Chollas Lake Improvements"
"Parks & Recreation","S14002","Parks","Community","Chollas Lake Pk Playground Improvements"
"Parks & Recreation","S00661","Buildings","Community Centers","City Heights Community Park Development Phase 3"
"Parks & Recreation","S01070","Parks","Mini Parks","City Heights Square Mini-Park"
"Parks & Recreation","S01045","Buildings","Other City Facility / Structures","Cliffridge Park Comfort Station  ADA"
"Parks & Recreation","AGF00006","Parks","Miscellaneous Parks","Coastal Erosion and Access"
"Parks & Recreation","S15001","Transportation","Ped Facilities - Sidewalks","Coast Blvd Walkway Improvements"
"Parks & Recreation","L12000","Transportation","Roadway - Enhance/Scape/Medians","Convert RB Medians-Asphalt to Concrete"
"Parks & Recreation","S14001","Parks","Open Space Parks","Cowles Mountain Access Rd Rehabilitation"
"Parks & Recreation","S15005","Parks","Miscellaneous Parks","Crest Canyon Neighborhood Park"
"Parks & Recreation","S10067","Parks","Open Space Parks","Crest Canyon Resource Management Plan"
"Parks & Recreation","S00623","Parks","Miscellaneous Parks","Crown Point Salt Marsh"
"Parks & Recreation","S11014","Parks","Resource-Based Parks","Crystal Pier Improvements"
"Parks & Recreation","S10046","Parks","Neighborhood Parks","Cypress Canyon Neighborhood Park - Phase 2"
"Parks & Recreation","S10028","Parks","Neighborhood Parks","Dailard NP Play Area Upgrades"
"Parks & Recreation","RD12004","Parks","Trails","Del Mar Hgts Rd Multiuse Trl Undercross"
"Parks & Recreation","S00998","Parks","Miscellaneous Parks","Del Mar Mesa Acquisition"
"Parks & Recreation","S00890","Parks","Trails","Del Mar Mesa Central Multi Use Trail"
"Parks & Recreation","S00648","Parks","Neighborhood Parks","Del Mar Mesa Neighborhood Park"
"Parks & Recreation","S13023","Parks","Neighborhood Parks","Del Mar Mesa Neighborhood Park Ph II"
"Parks & Recreation","S00892","Parks","Trails","Del Mar Mesa N Hiking/Equestrian Trail"
"Parks & Recreation","S00889","Parks","Trails","Del Mar Mesa Southern Multi-Use Trail"
"Parks & Recreation","L14003","Transportation","Roadway - Enhance/Scape/Medians","Del Mar Terrace Street Improvements"
"Parks & Recreation","S10038","Transportation","Roadway","Del Mar Terrace Street Improvements"
"Parks & Recreation","S11016","Parks","Neighborhood Parks","Del Mar Trails Park Play Area Upgrades"
"Parks & Recreation","RD19003","Parks","Neighborhood Parks","Del Sur Neighborhood Park"
"Parks & Recreation","RD17001","Parks","Neighborhood Parks","Del Sur Neighborhood Park (NP#2)-Land Acquisition"
"Parks & Recreation","S00636","Parks","Neighborhood Parks","Dennery Ranch Neighborhood Park"
"Parks & Recreation","S12033","Parks","Miscellaneous Parks","Dennis V. Allen Park Tot Lot Improvements"
"Parks & Recreation","S01067","Parks","Neighborhood Parks","Dingeman School/Spring Canyon Neighborhood Park"
"Parks & Recreation","S00640","Parks","Neighborhood Parks","Dorothy Petway Park - 252 Corridor"
"Parks & Recreation","L18000","Parks","Miscellaneous Parks","Downtown Greenways"
"Parks & Recreation","S15037","Parks","Community","Doyle Park Community Park ADA Upgrades"
"Parks & Recreation","S14016","Parks","Resource-Based Parks","East Fortuna Staging Area Field Stn Blg"
"Parks & Recreation","S16014","Parks","Miscellaneous Parks","East Village Green General Development Plan"
"Parks & Recreation","S16012","Parks","Miscellaneous Parks","East Village Green Phase 1"
"Parks & Recreation","S15035","Buildings","Other City Facility / Structures","EB Scripps Pk Comfort Station Replacement"
"Parks & Recreation","S15031","Parks","Community","Egger/South Bay Community Park ADA Improvements"
"Parks & Recreation","S00826","Transportation","Roadway - Enhance/Scape/Medians","El Cajon Blvd Streetscape Improvements"
"Parks & Recreation","S14006","Parks","Open Space Parks","El Cuervo Adobe Improvements"
"Parks & Recreation","P20003","Parks","Neighborhood Parks","Emerald Hills Park GDP"
"Parks & Recreation","S16017","Parks","Community","Encanto Comm Pk Security Lighting Upgrades"
"Parks & Recreation","S01056","Parks","Community","Encanto Community Park Concession Expansion"
"Parks & Recreation","S13010","Reclaimed Water","Pipelines","Evans Pond Reclaimed Water Pipeline Inst"
"Parks & Recreation","S01002","Parks","Neighborhood Parks","Fairbrook Neighborhood Park Acquisition"
"Parks & Recreation","S01083","Parks","Neighborhood Parks","Fairbrook Neighborhood Park Development"
"Parks & Recreation","S00605","Drainage","Channels","Famosa Slough Salt Marsh Creation"
"Parks & Recreation","S00622","Parks","Miscellaneous Parks","Fiesta Island Causeway Parking Lot"
"Parks & Recreation","S00991","Parks","Miscellaneous Parks","Fiesta Island Infrastructure Improvements"
"Parks & Recreation","S00770","Parks","Open Space Parks","Florida Canyon Drainage & Trail Improvements"
"Parks & Recreation","S15032","Parks","Mini Parks","Gamma Street Mini-Park ADA Improvements"
"Parks & Recreation","S01022","Buildings","Community Centers","Golden Hill Community Center"
"Parks & Recreation","S15040","Transportation","Roadway - Widening/Reconfiguration","Golf Course Drive Improvements"
"Parks & Recreation","S11030","Parks","Neighborhood Parks","Gompers NP - Play Area Upgrades"
"Parks & Recreation","S10068","Parks","Open Space Parks","Gonzales Canyon Resource Management Plan"
"Parks & Recreation","S16045","Parks","Miscellaneous Parks","Guymon Ngh Pk & Horton ES Joint Use Dev"
"Parks & Recreation","P18003","Parks","Miscellaneous Parks","Hendrix Pond/Aviary Park Development"
"Parks & Recreation","S00751","Parks","Miscellaneous Parks","Hickman Fields Athletic Area"
"Parks & Recreation","S00995","Parks","Neighborhood Parks","Hidden Trails Neighborhood Park"
"Parks & Recreation","S00722","Parks","Trails","Hiking & Equestrian Trail NP #10"
"Parks & Recreation","S00891","Parks","Trails","Hiking/Equestrian Trails-Eastern Region"
"Parks & Recreation","S00634","Parks","Community","Hilltop Community Park Development Phase 1"
"Parks & Recreation","S00677","Parks","Miscellaneous Parks","Hourglass Field House Parking Areas"
"Parks & Recreation","S00615","Parks","Miscellaneous Parks","Inspiration Point Precise Plan"
"Parks & Recreation","P19003","Parks","Neighborhood Parks","John Baca Park-General Development Plan"
"Parks & Recreation","AGF00003","Parks","Miscellaneous Parks","Joint Use Improvements - Citywide"
"Parks & Recreation","S15034","Parks","Miscellaneous Parks","Junipero Serra Museum ADA Improvements"
"Parks & Recreation","S15030","Parks","Neighborhood Parks","Keiller Neighborhood Park ADA Improvements"
"Parks & Recreation","S00974","Parks","Neighborhood Parks","Kellogg Park Play Area Improvements"
"Parks & Recreation","S16016","Parks","Neighborhood Parks","Kelly St Neighborhood Pk Security Lighting Upgrade"
"Parks & Recreation","S01021","Buildings","Other City Facility / Structures","Kids Copy-Tubman/Chavez Center"
"Parks & Recreation","S01008","Parks","Miscellaneous Parks","Kumeyaay Lake Riparian Restoration"
"Parks & Recreation","S00655","Parks","Miscellaneous Parks","Kumeyaay Lakes Berm Restoration and Dredg"
"Parks & Recreation","P18006","Parks","Miscellaneous Parks","Kumeyaay Lakes Berm Restoration Dredging"
"Parks & Recreation","S11018","Parks","Community","Lake Murray CP Play Area Expansion"
"Parks & Recreation","S00653","Parks","Miscellaneous Parks","La Mirada Elementary School Joint Use Phase II"
"Parks & Recreation","S00972","Buildings","Other City Facility / Structures","Language Academy/Montezuma Elementary Joint Use"
"Parks & Recreation","S01063","Parks","Miscellaneous Parks","Language Academy/Montezuma Elementary Joint Use"
"Parks & Recreation","S13004","Parks","Miscellaneous Parks","Larsen Field ADA Improvements Phase II"
"Parks & Recreation","S01068","Parks","Miscellaneous Parks","Linda Vista Community Park Picnic Area"
"Parks & Recreation","S15008","Parks","Miscellaneous Parks","Linda Vista Skate Park"
"Parks & Recreation","S16019","Parks","Miscellaneous Parks","Lomita Neighborhood Park Playground ADA Upgrades"
"Parks & Recreation","S13014","Parks","Trails","Los Penasquitos Canyon Preserve South Trail Restoration"
"Parks & Recreation","S10086","Parks","Neighborhood Parks","Maddox NP Playground Upgrades"
"Parks & Recreation","S16018","Parks","Miscellaneous Parks","Marie Widman Memorial Pk Security Lighting Upgrade"
"Parks & Recreation","S10080","Parks","Miscellaneous Parks","Marshall Elementary School Joint Use Improvements"
"Parks & Recreation","S00664","Parks","Community","McAuliffe Community Park Development Phase 2"
"Parks & Recreation","S12001","Parks","Community","McKinley Elementary School JU Improvemts"
"Parks & Recreation","S16020","Parks","Miscellaneous Parks","Memorial Comm Pk Playground ADA Upgrades"
"Parks & Recreation","S15039","Parks","Miscellaneous Parks","Memorial Community Building Clearance Activity"
"Parks & Recreation","S01049","Buildings","Parks - Recreation/Pool Centers","Memorial Pool ADA Improvements"
"Parks & Recreation","S00970","Parks","Miscellaneous Parks","Memorial Pool Improvements"
"Parks & Recreation","S00647","Parks","Community","Memorial Skateboard Park"
"Parks & Recreation","S01023","Buildings","Community Centers","Mid City Community Clinic"
"Parks & Recreation","S01039","Buildings","Other City Facility / Structures","Mira Mesa  ADA"
"Parks & Recreation","S01003","Parks","Community","Mira Mesa Community Park 3 (Hourglass) Development"
"Parks & Recreation","L16002","Buildings","Parks - Recreation/Pool Centers","Mira Mesa Community Pk Improvements"
"Parks & Recreation","S00667","Parks","Neighborhood Parks","Mira Mesa CP - Exp & Aquatic Complex"
"Parks & Recreation","S10021","Parks","Miscellaneous Parks","Mission Bay Athletic Area Comfort Station Mod"
"Parks & Recreation","S00624","Parks","Resource-Based Parks","Mission Bay/Fiesta Island Development Pl"
"Parks & Recreation","S11010","Golf Courses","Golf Courses","Mission Bay GC Renovation/Reconstruction"
"Parks & Recreation","AEA00003","Golf Courses","Golf Courses","Mission Bay Golf Course"
"Parks & Recreation","S01090","Golf Courses","Golf Courses","Mission Bay Golf Course Clubhouse Demo/Prtbl Building Instl"
"Parks & Recreation","S10043","Golf Courses","Golf Courses","Mission Bay Golf Course Driving Range Upgrade"
"Parks & Recreation","S00629","Golf Courses","Golf Courses","Mission Bay Golf Course New Irrigation System"
