"dept_group","dept_name","dept_division","dept_section","funds_center","funds_center_number"
"City Comptroller","City Comptroller","Gov't Accounting Fin Reporting & CAFR","Gov't Accounting Fin Reporting & CAFR","GTA/BTA/CAPT/Assets","1511120012"
"City Comptroller","City Comptroller","Gov't Accounting & Grants","Gov't Accounting & Grants","CAFR/CYM","1511110012"
"City Comptroller","City Comptroller","Gov't Accounting & Grants","Gov't Accounting & Grants","Division Management","1511110001"
"City Comptroller","City Comptroller","Gov't Accounting & Grants","Gov't Accounting & Grants","Grants & O/M","1511110011"
"City Comptroller","City Comptroller","Proprietary & RDA","Proprietary & RDA","Division Management","1511140001"
"City Comptroller","City Comptroller","Proprietary & RDA","Proprietary & RDA","Proprietary STA & O/M","1511140011"
"City Comptroller","City Comptroller","Proprietary & RDA","Proprietary & RDA","RDA","1511140012"
"City Comptroller","City Comptroller","Systems Payments & Internal Controls","Systems Payments & Internal Controls","Division Management","1511130001"
"City Comptroller","City Comptroller","Systems Payments & Internal Controls","Systems Payments & Internal Controls","Internal Controls","1511130013"
"City Comptroller","City Comptroller","Systems Payments & Internal Controls","Systems Payments & Internal Controls","Payroll","1511130012"
"City Comptroller","City Comptroller","Systems Payments & Internal Controls","Systems Payments & Internal Controls","Systems & A/P","1511130011"
"City Treasurer","City Treasurer","City Treasurer","City Treasurer","City Treasurer & Admin Support","1516000001"
"City Treasurer","City Treasurer","City Treasurer","City Treasurer","Investments","1516000011"
"City Treasurer","City Treasurer","City Treasurer","City Treasurer","Revenue Audit & Appeals","1516000012"
"City Treasurer","City Treasurer","Revenue Collections","Revenue Collections","Community Parking Districts Admin","1516110016"
"City Treasurer","City Treasurer","Revenue Collections","Revenue Collections","Delinquent Accounts","1516110011"
"City Treasurer","City Treasurer","Revenue Collections","Revenue Collections","Division Admin Support","1516110001"
"City Treasurer","City Treasurer","Revenue Collections","Revenue Collections","Parking Administration","1516110013"
"City Treasurer","City Treasurer","Revenue Collections","Revenue Collections","Parking Meter Operations","1516110014"
"City Treasurer","City Treasurer","Revenue Collections","Revenue Collections","Parking Meter Transfers","1516110015"
"City Treasurer","City Treasurer","Revenue Collections","Revenue Collections","Revenue Collections Payments Processing","1516110012"
"City Treasurer","City Treasurer","Treasury Operations","Treasury Operations","Business Tax","1516120012"
"City Treasurer","City Treasurer","Treasury Operations","Treasury Operations","Division Admin Support","1516120001"
"City Treasurer","City Treasurer","Treasury Operations","Treasury Operations","Minimum Wage","1516120014"
"City Treasurer","City Treasurer","Treasury Operations","Treasury Operations","Revenue Audit","1516120013"
"City Treasurer","City Treasurer","Treasury Operations","Treasury Operations","Treasury Accounting","1516120011"
"Citywide Other/Special Funds","Citywide Other/Special Funds","Citywide Other/Special Funds","Citywide Other/Special Funds","Citywide Other/Special Funds","9913000011"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Animal Services","9912001125"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Business Cooperation Program","9912001121"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Citywide Elections","9912001111"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Corporate Master Leases Rent","9912001112"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Employee Personal Prop Claims","9912001113"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Engineering & Capital Projects","9912001123"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Insurance","9912001114"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Memberships","9912001115"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Office Space Rent","9912001119"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Property Tax Administration","9912001116"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Redistricting Commission","9912001122"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Special Consulting Services","9912001117"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Successor Agency","9912001124"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Expenses","Transportation Subsidy","9912001118"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Reserves","General Fund Reserve","9912001220"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Reserves","Pension Payment Stabilization Reserve","9912001222"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Reserves","Public Liab Claims Xfer-Reserves","9912001221"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Assessments to Public Property","9912001311"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Deferred Capital Debt Service","9912001320"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","McGuigan Settlement","9912001312"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Mission Bay Park Improve Fund Xfer","9912001317"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Preservation of Benefits","9912001315"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Public Liab Claims Transfer-Insurance","9912001322"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Public Liab Claims Xfer-Claims Fund","9912001313"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Public Use Leases","9912001318"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Supplemental COLA Benefit","9912001321"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Transfer to Infrastructure Fund","9912001323"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Transfer to Other Funds","9912001319"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","Transfer to Park Improvement Funds","9912001316"
"Citywide Program Expenditures","Citywide Expenses","Citywide Expenses","Transfer","TRANS Interest Expense Transfer Fund","9912001314"
"Debt Management","Debt Management","Debt Management","Debt Management","Bond Fin. & Admin & Financial Analysis","1512000011"
"Debt Management","Debt Management","Debt Management","Debt Management","Department Management","1512000001"
"Department of Finance","Department of Finance","Department of Finance","Department of Finance","Department Management","1517000001"
"Department of Finance","Department of Finance","External Financial Reporting","External Financial Reporting","Accounts Payable","1517130011"
"Department of Finance","Department of Finance","External Financial Reporting","External Financial Reporting","Financial Reporting","1517130013"
"Department of Finance","Department of Finance","External Financial Reporting","External Financial Reporting","Internal Controls (PC)","1517130012"
"Department of Finance","Department of Finance","External Financial Reporting","External Financial Reporting","PUD","1517130016"
"Department of Finance","Department of Finance","External Financial Reporting","External Financial Reporting","Successor Agency","1517130014"
"Department of Finance","Department of Finance","External Financial Reporting","External Financial Reporting","Systems & Internal Controls (AC)","1517130015"
"Department of Finance","Department of Finance","Financial Planning & Disbursements","Financial Planning & Disbursements","Accounts Payable","1517110012"
"Department of Finance","Department of Finance","Financial Planning & Disbursements","Financial Planning & Disbursements","Budget Development & Forecasting","1517110011"
"Department of Finance","Department of Finance","Financial Planning & Disbursements","Financial Planning & Disbursements","Capital Improvements Program","1517110014"
"Department of Finance","Department of Finance","Financial Planning & Disbursements","Financial Planning & Disbursements","Internal Service Funds","1517110013"
"Department of Finance","Department of Finance","Internal Financial Reporting","Internal Financial Reporting","Accounting & Monitoring","1517120011"
"Department of Finance","Department of Finance","Internal Financial Reporting","Internal Financial Reporting","Cost","1517120013"
"Department of Finance","Department of Finance","Internal Financial Reporting","Internal Financial Reporting","Division Management","1517120001"
"Department of Finance","Department of Finance","Internal Financial Reporting","Internal Financial Reporting","IT/Training & Internal Controls (AC)","1517120014"
"Department of Finance","Department of Finance","Internal Financial Reporting","Internal Financial Reporting","Payroll/PEP","1517120015"
"Department of Finance","Department of Finance","Internal Financial Reporting","Internal Financial Reporting","Proprietary","1517120012"
"Financial Management","Financial Management","Financial Management","Budget Development","Budget Development","1513111111"
"Financial Management","Financial Management","Financial Management","Budget Development","Public Budget Formulation","1513111113"
"Financial Management","Financial Management","Financial Management","Budget Development","Salary Wages Administration Team","1513111112"
"Financial Management","Financial Management","Financial Management","Budget Development","Section Management","1513111101"
"Financial Management","Financial Management","Financial Management","Budget Monitoring & CIP","Budget Monitoring","1513111211"
"Financial Management","Financial Management","Financial Management","Budget Monitoring & CIP","CIP","1513111212"
"Financial Management","Financial Management","Financial Management","Budget Monitoring & CIP","Section Management","1513111201"
"Financial Management","Financial Management","Financial Management","Financial Management","Budget Development","1513110012"
"Financial Management","Financial Management","Financial Management","Financial Management","Budget Monitoring","1513110015"
"Financial Management","Financial Management","Financial Management","Financial Management","CIP","1513110016"
"Financial Management","Financial Management","Financial Management","Financial Management","Department Management","1513110001"
"Financial Management","Financial Management","Financial Management","Financial Management","Fiscal Planning & Analysis","1513110011"
"Financial Management","Financial Management","Financial Management","Financial Management","Personnel Expenditure Planning","1513110013"
"Financial Management","Financial Management","Financial Management","Financial Management","Systems & Training","1513110014"
"General Fund Appropriated Reserve","General Fund Appropriated Reserve","General Fund Appropriated Reserve","General Fund Appropriated Reserve","General Fund Appropriated Reserve","9915000011"
"Major Revenues","Legacy Postings","ARIS Postings","ARIS Postings","ARIS Postings","9914000011"
"Major Revenues","Major Revenues","Major Revenues","Charges for Current Services","Charges for Current Services","9911001911"
"Major Revenues","Major Revenues","Major Revenues","Franchise Fees","Franchise Fees-Cable","9911001612"
"Major Revenues","Major Revenues","Major Revenues","Franchise Fees","Franchise Fees-Refuse Haulers","9911001613"
"Major Revenues","Major Revenues","Major Revenues","Franchise Fees","Franchise Fees-SDG&E","9911001611"
"Major Revenues","Major Revenues","Major Revenues","Interest Earnings","Interest Earnings","9911001811"
"Major Revenues","Major Revenues","Major Revenues","Major General Fund Revenues","Major General Fund Revenues","9911000011"
"Major Revenues","Major Revenues","Major Revenues","Motor Vehicle License Fees","Motor Vehicle License Fees","9911001711"
"Major Revenues","Major Revenues","Major Revenues","Property Tax","Property Tax","9911001111"
"Major Revenues","Major Revenues","Major Revenues","Property Transfer Tax","Property Transfer Tax","9911001212"
"Major Revenues","Major Revenues","Major Revenues","Revenue from Other Agencies","Revenue from County Agencies","9911002013"
"Major Revenues","Major Revenues","Major Revenues","Revenue from Other Agencies","Revenue from Federal Agencies","9911002011"
"Major Revenues","Major Revenues","Major Revenues","Revenue from Other Agencies","Revenue from Other Agencies","9911002014"
"Major Revenues","Major Revenues","Major Revenues","Revenue from Other Agencies","Revenue from State Agencies","9911002012"
"Major Revenues","Major Revenues","Major Revenues","Safety Sales Tax","Safety Sales Tax","9911001414"
"Major Revenues","Major Revenues","Major Revenues","Sales Tax","Sales Tax","9911001313"
"Major Revenues","Major Revenues","Major Revenues","Transfers from Other Funds","Transfers from Other Funds","9911002111"
"Major Revenues","Major Revenues","Major Revenues","Transient Occupancy Tax","Transient Occupancy Tax","9911001515"
"Office of the Chief Financial Officer","Chief Financial Officer","Chief Financial Officer","Chief Financial Officer","Business Center Management","1500000001"
"Office of the Chief Financial Officer","Chief Financial Officer","Chief Financial Officer","Corporate Partnership","Corporate Partnership","1500001111"
"Office of the Chief Financial Officer","Chief Financial Officer","Chief Financial Officer","Major Gifts & Philanthropy","Major Gifts and Philanthropy","1500001212"
"Office of the Chief Financial Officer","Chief Operating Officer","Chief Operating Officer","Chief Operating Officer","Chief Operating Officer","1002000011"
"Risk Management","Risk Management","Risk Management","Risk Management","Department Management","1515000001"
"Risk Management","Risk Management","Risk Management","Risk Management","Employee Benefits","1515000012"
"Risk Management","Risk Management","Risk Management","Risk Management","LTD Termed Participants","1515000015"
"Risk Management","Risk Management","Risk Management","Risk Management","Public Liability & Loss Recovery","1515000011"
"Risk Management","Risk Management","Risk Management","Risk Management","Safety & Environmental","1515000014"
"Risk Management","Risk Management","Risk Management","Risk Management","Workers' Compensation","1515000013"
"Environmental Services","Environmental Services","Collection Services","Collection Services","Automated Container Management","2115130012"
"Environmental Services","Environmental Services","Collection Services","Collection Services","Coll Srvcs Admin","2115130001"
"Environmental Services","Environmental Services","Collection Services","Collection Services","Litter Container Collection & Maint","2115130014"
"Environmental Services","Environmental Services","Collection Services","Collection Services","Miramar Maintenance","2115130011"
"Environmental Services","Environmental Services","Collection Services","Collection Services","Refuse Collection","2115130013"
"Environmental Services","Environmental Services","Collection Services","Curbside Recycling","Curb Recy Admin","2115131101"
"Environmental Services","Environmental Services","Collection Services","Curbside Recycling","Greenery Collection","2115131111"
"Environmental Services","Environmental Services","Collection Services","Curbside Recycling","Recycling Collection","2115131112"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Disposal & Environmental Protection","Disposal Division Admin","2115120001"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Disposal & Environmental Protection","Disposal Division Admin-In MC Scope","2115120003"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Disposal & Environmental Protection","Fee Collection-In MC Scope","2115120002"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Environmental Protection","Asbestos & Lead Administration","2115121611"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Environmental Protection","HazMat Internal Training Program","2115121614"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Environmental Protection","Household Hazardous Waste","2115121613"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Environmental Protection","Lead Safety & Healthy Homes","2115121612"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Environmental Protection","Tank Engineering & Environmental Mgmt","2115121615"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Field Operations","Abatements","2115121511"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Field Operations","Field Ops Admin","2115121501"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Field Operations","Other Outside Services","2115121513"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Field Operations","Universal Waste","2115121512"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Miramar Landfill Operations","Disposal/Excav Ops/Mgmt","2115121101"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Miramar Landfill Operations","Greenery Operations-In MC Scope","2115121111"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Miramar Landfill Operations","HazMat Landfill","2115121116"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Miramar Landfill Operations","HazMat Landfill-In MC Scope","2115121115"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Miramar Landfill Operations","Landfill Operations","2115121114"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Miramar Landfill Operations","Landfill Operations-In MC Scope","2115121113"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Miramar Landfill Operations","Miramar Landfill Engineering","2115121112"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Post Closure Maint/Regulatory Compliance","Groundwater Monitoring","2115121212"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Post Closure Maint/Regulatory Compliance","Landfill Gas Management","2115121213"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Post Closure Maint/Regulatory Compliance","Maintenance","2115121211"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Post Closure Maint/Regulatory Compliance","Maintenance & Monitoring","2115121215"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Post Closure Maint/Regulatory Compliance","Project Management","2115121201"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Post Closure Maint/Regulatory Compliance","Project Management","2115121214"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Solid Waste Code Enforcement","Community Cleanups","2115121312"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Solid Waste Code Enforcement","Enforcement","2115121311"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Solid Waste Code Enforcement","Miramar Landfill Code Compliance","2115121315"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Solid Waste Code Enforcement","Recycling","2115121313"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Solid Waste Code Enforcement","Special Projects","2115121314"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Solid Waste Code Enforcement","SWCE Admin","2115121301"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Waste Reduction & Diversion","Commercial/Industrial Recycling","2115121411"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Waste Reduction & Diversion","Residential Recycling","2115121412"
"Environmental Services","Environmental Services","Disposal & Environmental Protection","Waste Reduction & Diversion","WR&D Admin","2115121401"
"Environmental Services","Environmental Services","Energy & Sustainability","Energy & Sustainability","E&S Division Admin","2115110001"
"Environmental Services","Environmental Services","Energy & Sustainability","Energy & Sustainability","E&S Engineering","2115110013"
"Environmental Services","Environmental Services","Energy & Sustainability","Energy & Sustainability","E&S Fiscal Analysis","2115110011"
"Environmental Services","Environmental Services","Energy & Sustainability","Energy & Sustainability","E&S Grant Analysis & Administration","2115110012"
"Environmental Services","Environmental Services","Energy & Sustainability","Energy & Sustainability","Sustainability","2115110014"
"Environmental Services","Environmental Services","Energy & Sustainability","Environmental Protection","Asbestos & Lead Administration","2115111111"
"Environmental Services","Environmental Services","Energy & Sustainability","Environmental Protection","HazMat Internal Training Program","2115111114"
"Environmental Services","Environmental Services","Energy & Sustainability","Environmental Protection","HazMat Landfill","2115111115"
"Environmental Services","Environmental Services","Energy & Sustainability","Environmental Protection","Household Hazardous Waste","2115111113"
"Environmental Services","Environmental Services","Energy & Sustainability","Environmental Protection","Lead Safe Neighborhood Prog Admin","2115111112"
"Environmental Services","Environmental Services","Energy & Sustainability","Environmental Protection","Tank Eng & Enviro Mgmt","2115111101"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Community Education and Outreach","2115000016"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Customer Services","2115000020"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Environmental Policy","2115000015"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Environmental Services Management","2115000001"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Facility Services","2115000018"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Fiscal & Admin Support","2115000011"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Franchise & Contract Management","2115000012"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Human Resources and Org Develop","2115000019"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Information Systems","2115000014"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Safety and Training","2115000017"
"Environmental Services","Environmental Services","Environmental Services","Management & Support Services","Support Services and Payroll","2115000013"
"Environmental Services","Environmental Services","Waste Reduction","Clean SD","Clean SD Admin","2115141401"
"Environmental Services","Environmental Services","Waste Reduction","Clean SD","Clean SD Code Enforcement","2115141411"
"Environmental Services","Environmental Services","Waste Reduction","Clean SD","Clean SD Field Operations","2115141412"
"Environmental Services","Environmental Services","Waste Reduction","Code Enforcement","Code Enforcement","2115141111"
"Environmental Services","Environmental Services","Waste Reduction","Field Operations","Field Operations","2115141311"
"Environmental Services","Environmental Services","Waste Reduction","Fiscal & Admin Support","Fiscal & Admin Support Division Admin","2115140001"
"Environmental Services","Environmental Services","Waste Reduction","Recycling","Recycling","2115141211"
"Infrastructure/Public Works","Infrastructure/Public Works","Infrastructure/Public Works","Infrastructure/Public Works","Business Center Management","2100000001"
"Infrastructure/Public Works","Infrastructure/Public Works","Office of ADA Compliance & Accessibility","Office of ADA Compliance & Accessibility","Division Management","2100110001"
"Infrastructure/Public Works","Infrastructure/Public Works","Office of ADA Compliance & Accessibility","Office of ADA Compliance & Accessibility","Office of ADA Compliance & Accessibility","2100110011"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Administrative Services","Division Management","2012150001"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Finance","Audit Support","2012151314"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Finance","Budget","2012151312"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Finance","Contracts Mgmt","2012151311"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Finance","Rates / Bonds","2012151313"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Finance","Section Management","2012151301"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Human Resources","HR / Payroll","2012151113"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Human Resources","Org Development","2012151114"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Human Resources","Safety","2012151111"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Human Resources","Section Management","2012151101"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","Human Resources","Training","2012151112"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","IT","Project Management","2012151211"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","IT","Section Management","2012151201"
"Public Utilities","Metropolitan Wastewater Metro","Administrative Services","IT","Technical Services","2012151212"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Administration & Business Support","Administration & Business Support","2012121111"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","EMTS","Division Management","2012120001"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Marine Biology & Ocean Operations","Administration","2012121301"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Marine Biology & Ocean Operations","Data Management & Reporting","2012121314"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Marine Biology & Ocean Operations","IT & GIS","2012121315"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Marine Biology & Ocean Operations","Ocean Operations","2012121311"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Marine Biology & Ocean Operations","Taxonomy","2012121312"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Marine Biology & Ocean Operations","Toxicology (Bioassay Lab)","2012121313"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Microbiology","Administration","2012121401"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Microbiology","Marine Microbiology Lab","2012121411"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Microbiology","Vector Management","2012121412"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Permits & Compliance","Administration","2012121501"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Permits & Compliance","Air Quality Permits","2012121511"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Permits & Compliance","Research & Development","2012121512"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Wastewater Chemistry Services","Administration","2012121201"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Wastewater Chemistry Services","GC/MS","2012121213"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Wastewater Chemistry Services","Metals","2012121212"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Wastewater Chemistry Services","Northern Services","2012121215"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Wastewater Chemistry Services","Pesticides/Wet Chemistry","2012121211"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Wastewater Chemistry Services","QA/Data Management","2012121214"
"Public Utilities","Metropolitan Wastewater Metro","EMTS","Wastewater Chemistry Services","Southern Services","2012121216"
"Public Utilities","Metropolitan Wastewater Metro","EPM","Environmental","Canyon Access LTA","2012141113"
"Public Utilities","Metropolitan Wastewater Metro","EPM","Environmental","Environmental General","2012141114"
"Public Utilities","Metropolitan Wastewater Metro","EPM","Environmental","Environmental GRC-H","2012141115"
"Public Utilities","Metropolitan Wastewater Metro","EPM","Environmental","Mitigation (Envr)","2012141111"
"Public Utilities","Metropolitan Wastewater Metro","EPM","Environmental","Restoration (Envr)","2012141112"
"Public Utilities","Metropolitan Wastewater Metro","EPM","Environmental","Section Management","2012141101"
"Public Utilities","Metropolitan Wastewater Metro","EPM","EPM","Development Review","2012140014"
"Public Utilities","Metropolitan Wastewater Metro","EPM","EPM","Division Management","2012140001"
"Public Utilities","Metropolitan Wastewater Metro","EPM","EPM","Energy","2012140011"
"Public Utilities","Metropolitan Wastewater Metro","EPM","EPM","Modeling","2012140015"
"Public Utilities","Metropolitan Wastewater Metro","EPM","EPM","Planning","2012140012"
"Public Utilities","Metropolitan Wastewater Metro","EPM","EPM","Program Management","2012140013"
"Public Utilities","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Asset Management","2012000011"
"Public Utilities","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Department Management","2012000001"
"Public Utilities","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Department Wide Support","2012000014"
"Public Utilities","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Public Information Office","2012000012"
"Public Utilities","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Metropolitan Wastewater Metro","Reserves/Debt","2012000013"
"Public Utilities","Metropolitan Wastewater Metro","WWC","WWC","Division Management","2012130001"
"Public Utilities","Metropolitan Wastewater Metro","WWC","WWC","Misc Metro Admin","2012130011"
"Public Utilities","Metropolitan Wastewater Metro","WWC","WWC","Misc Metro Ops/Maint","2012130012"
"Public Utilities","Metropolitan Wastewater Metro","WWTD","Administration","Financial Services","2012111411"
"Public Utilities","Metropolitan Wastewater Metro","WWTD","Central Support","General","2012111327"
"Public Utilities","Metropolitan Wastewater Metro","WWTD","Central Support","Grove Ave PS (GAPS)","2012111320"
"Public Utilities","Metropolitan Wastewater Metro","WWTD","Central Support","MBC","2012111323"
"Public Utilities","Metropolitan Wastewater Metro","WWTD","Central Support","Metro pipelines","2012111326"
"Public Utilities","Metropolitan Wastewater Metro","WWTD","Central Support","MOC 10","2012111328"
"Public Utilities","Metropolitan Wastewater Metro","WWTD","Central Support","MOC 2","2012111311"
